t,u,xd,x,I
1.079999,-0.555987,0.107790,0.111032,-14.000000
1.089999,0.573457,0.108784,0.112225,21.000000
1.099999,-0.575737,0.109778,0.112399,43.000000
1.109999,-0.583154,0.110772,0.114057,-17.000000
1.119999,-0.087078,0.111766,0.115628,10.000000
1.129999,0.573468,0.112760,0.116355,-32.000000
1.139999,0.569766,0.113753,0.116559,-27.000000
1.149999,-0.565935,0.114747,0.117402,-10.000000
1.159999,-0.015829,0.115740,0.118944,19.000000
1.169999,0.573458,0.116733,0.119439,-4.000000
1.179999,-0.030865,0.117726,0.119584,22.000000
1.189999,-0.519183,0.118719,0.120573,6.000000
1.199999,0.563578,0.119712,0.121679,9.000000
1.209999,0.434143,0.120705,0.122028,10.000000
1.219999,-0.602991,0.121698,0.123308,-69.000000
1.229999,-0.674567,0.122690,0.126304,-17.000000
1.239999,-0.661100,0.123682,0.130347,-65.000000
1.249999,-0.606907,0.124675,0.133750,-24.000000
1.259999,-0.579808,0.125667,0.136136,-13.000000
1.269999,0.581051,0.126659,0.137561,5.000000
1.279999,-0.058685,0.127651,0.137852,12.000000
1.289999,-0.546536,0.128642,0.138783,3.000000
1.299999,0.609415,0.129634,0.139423,5.000000
1.309999,-0.546570,0.130626,0.139248,4.000000
1.319999,0.593382,0.131617,0.139714,4.000000
1.329999,-0.175639,0.132608,0.139423,-53.000000
1.339999,0.593381,0.133599,0.139917,-1.000000
1.349999,-0.012319,0.134590,0.139917,16.000000
1.359999,0.569936,0.135581,0.140528,21.000000
1.369999,0.109228,0.136572,0.140790,27.000000
1.379999,0.128264,0.137562,0.141604,-71.000000
1.389999,0.410871,0.138553,0.142244,-17.000000
1.399999,-0.023514,0.139543,0.142739,-65.000000
1.409999,-0.421385,0.140533,0.143641,73.000000
1.419999,0.220268,0.141523,0.144717,-38.000000
1.429999,0.569888,0.142513,0.145270,-52.000000
1.439999,-0.589879,0.143503,0.146259,58.000000
1.449999,-0.607185,0.144492,0.148498,-44.000000
1.459999,-0.576373,0.145482,0.150535,-45.000000
1.469999,-0.560350,0.146471,0.151989,31.000000
1.479999,0.593377,0.147460,0.152891,-29.000000
1.489999,-0.180635,0.148449,0.153036,14.000000
1.499999,-0.552987,0.149438,0.154025,-10.000000
1.509999,0.577326,0.150427,0.154956,-7.000000
1.519999,0.165061,0.151415,0.155072,15.000000
1.529999,-0.562889,0.152404,0.155916,5.000000
1.539999,0.569908,0.153392,0.157138,9.000000
1.549999,-0.173189,0.154380,0.157400,62.000000
1.559999,-0.183369,0.155368,0.158476,21.000000
1.569999,0.567419,0.156356,0.159349,-73.000000
1.579999,0.048981,0.157343,0.159814,6.000000
1.589999,-0.570348,0.158331,0.161007,-45.000000
1.599999,0.593325,0.159318,0.162083,40.000000
1.609999,0.127308,0.160305,0.162054,53.000000
1.619999,-0.614832,0.161292,0.163014,-15.000000
1.629999,-0.580316,0.162279,0.165486,-5.000000
1.639999,0.593364,0.163266,0.166737,-41.000000
1.649999,0.567449,0.164252,0.166766,-31.000000
1.659999,-0.576670,0.165239,0.167581,-41.000000
1.669999,0.567447,0.166225,0.169151,-29.000000
1.679999,0.567440,0.167211,0.169588,-19.000000
1.689999,-0.576709,0.168197,0.170460,58.000000
1.699999,-0.560681,0.169182,0.172119,24.000000
1.709999,0.587184,0.170168,0.173137,-1.000000
1.719999,-0.095566,0.171153,0.173398,71.000000
1.729999,-0.594054,0.172138,0.174678,21.000000
1.739999,-0.563221,0.173123,0.176685,-17.000000
1.749999,0.126090,0.174108,0.178024,47.000000
1.759999,-0.071188,0.175093,0.178576,47.000000
1.769999,-0.570659,0.176077,0.179653,27.000000
1.779999,-0.551250,0.177061,0.181194,-72.000000
1.789999,0.583464,0.178046,0.182067,-9.000000
1.799999,-0.190129,0.179029,0.182096,-55.000000
1.809999,-0.580590,0.180013,0.183463,17.000000
1.819999,0.112394,0.180997,0.185005,36.000000
1.829999,0.403885,0.181980,0.185558,-25.000000
1.839999,-0.567050,0.182963,0.186285,-3.000000
1.849999,0.569863,0.183946,0.187827,-24.000000
